395090唯一合格男    2 999999902    240326210938211837000100280    2 10000080010101011                                                                                                                                                                    0101040408040404040404000002040200070806020305040607990802730603021059999996599999999999999999999999999999999289999990101                                      95101
395099最年輕的男  042 999999902    240326193440194826000100207    2 10000796010402041                                                                                                                                                                    0101010308040103020404030302030100080604030307030438019901690402026019999996699999999999999999999999999999999990999990101                                      95101
395122唯一合格女    2 999999902    240326213533214554000100036    1 10000181010302011                                                                                                                                                                    0101010202049702980203070798020305080607010105030607990802500702021049999996399999999999999999999999999990899999999990101                                      95201
395125唯一合格女  042 999999902    240326193616194645000100280    2 10000080010100011                                                                                                                                                                    0299019598999503030396040103030401030301029800950601029902380201029069996026699999999999999999999999999999999991099990102                                      99204
395132唯一合格男    2 999999902    240326193658194832000100127    1 10001688010201011                                                                                                                                                                    0101020308010404030303050304020204070803020300040601019902450603039069991046599999999999999999999999999999999179999990101                                      95101
395149唯一合格女  042 999999902    240326193808194926000100036    1 10000181010302012                                                                                                                                                                    0103010201140101020202070602029600050508020106020402019901390201011069999996699999999999999999999999999999999991999990102                                      99201
395157唯一合格男  042 999999902    240328214158214941000100225    1 10000375010101011                                                                                                                                                                    0103019701040402970204070497040204080607030207020538029901570502021069999990899999999069999999999999999999999999999990201                                      95101
395183唯一合格男   05 999999902    240326194043195716000100278    2 20000036010201011                                                                                                                                                                    0102950301040404030303010103020305060505030398960597990802959502029059996029599999999999999999999999999999999999999999502                                      99101
395185最年輕的女   05 999999902    240326194106195931000100049    2 10002864010402041                                                                                                                                                                    0101010204019802989897060798989801050305020206980419990801890602024019999991099999999999907999999999999999999999999990101                                      01201
395191最年長的男   04 999999902    240330192707193751000100280    2 10000080010403012                                                                                                                                                                    0101020103080201010298070701989500050407020204010402029901390202025019999990799999902999999999999999999999999999999990102                                      99104
395240唯一合格女  042 999999902    240328214345215425000100231    1 10000108010201011                                                                                                                                                                    0101010104020101020101080901030400050208010203980402019901680702022079999996699999999999999999999999999999999991799990101                                      01201
395241唯一合格男    8 999999902    240328214403215300000100202    2 10000288010201011                                                                                                                                                                    0101010108020201020102090902020301070709010203010406990401550702022069999996599999999999999999999999999999999099999990101                                      95101
395260最年輕的女  049 999999902    240326194650195805000100280    2 10000080010301032                                                                                                                                                                    0101010404020497030303040397030307060504030302040501029902710702021049999990899999999019999999999999999999999999999990101                                      01201
395268唯一合格男    2 999999902    240328214505215504000100250    1 10000360010201011                                                                                                                                                                    0102010109920202020103080802030306060408010105030602019902600603021059999996599999999999999999999999999999999039999990101                                      95101
395287唯一合格女   07 999999902    240326194836195759000100207    2 10000796010302011                                                                                                                                                                    0102010208020201010202080702040400040008020200030202029901560504046019999996499999999999999999999999999999904999999990102                                      99201
395291最年輕的女   05 999999902    240326194847200553000100067    2 10001275010200021                                                                                                                                                                    0101010204029897030303050597020303050305030203030419990801499598984019999990999999999990199999999999999999999999999990102                                      99201
395305唯一合格男    2 999999902    240326214949220240000112254002 2 30000000010201012                                                                                                                                                                    0103010303010304020302060501040205030007020100010402029902800502024019999996599999999999999999999999999999999059999990201                                      95101
395311唯一合格女    2 999999902    240328214721220117000100193    2 10000526010201011                                                                                                                                                                    0101010202080201020202070901030300980207020100020702029901390201019016029996399999999999999999999999999990999999999990102                                      99201
395338最年長的男   08 999999902    240326195138200323000100250    1 10000360010503012                                                                                                                                                                    0299010304010404040404000004049700060609010206020507990302370401019069996021399999999999999019999999999999999999999990102                                      99102
395363最年輕的女    2 999999902    240326195253200915000100036    1 10000181010200021                                                                                                                                                                    0101010308020404030404040302030202080803030200980501019902740401019031069996599999999999999999999999999999999089999990101                                      01201
395403最年輕的男   03 999999902    240328215016220113000100049    2 10002864010302031                                                                                                                                                                    0101010304020303020303050503030204080606010106030501029902670702022149999991899999999999999999999999901999999999999990101                                      01101
395416唯一合格女   03 999999902    240326201254201456000112254002 2 30000000010201011                                                                                                                                                                    0102030402040403030304040403040201070305030305020438029902720602022049999990499019999999999999999999999999999999999990101                                      95201
395420唯一合格女   07 999999902    240326195730200856000100278    2 20000036010201012                                                                                                                                                                    0101010304010303030303040404020205080805030305030601029901470402029011049996499999999999999999999999999999904999999990102                                      99201
395429唯一合格男    2 999999902    240326195833201439000100207    2 10000796010201011                                                                                                                                                                    0101010401080404030304040003030405100302020308040301029903420403029069991036599999999999999999999999999999999119999990101                                      95101
395434唯一合格男    2 999999902    240326195847202329000100282    2 10000072010101011                                                                                                                                                                    0101010204929702020202080802989898070708020198029895990801959502029069992136399999999999999999999999999990899999999990102                                      99101
395438唯一合格女   06 999999902    240326195920201654000100275    2 10000156010201011                                                                                                                                                                    0195010198990202020298091002030300000010029895029802029901430202025019999996799999999999999999999999999999999999906990102                                      99202
395466唯一合格男   06 999999902    240326213631214354000100280    2 10000080010401012                                                                                                                                                                    0102010208020202010203050503040300080705030304030507990301600502021069999996799999999999999999999999999999999999901990102                                      99101
395495唯一合格男   05 999999902    240326200449203348000100124    2 10000920010101011                                                                                                                                                                    0198010298999898989898989898989698989898989898989898990801250198989069996021099999999999903999999999999999999999999990102                                      99102
395515唯一合格女   05 999999902    240329180931181917000100161    2 10001810010100011                                                                                                                                                                    0101010401080404040404050503030498080806039806040601029902350502019069992062099999999999999999999999999019999999999990102                                      99201
395527最年輕的女    2 999999902    240331185328190736000100036    1 10000181010301031                                                                                                                                                                    0102019804019898980202070798980205080607030307030601029902650402026029999996599999999999999999999999999999999029999990101                                      01201
395535唯一合格女    2 999999902    240326200901202629000100250    1 10000360010100011                                                                                                                                                                    0299010298990201980202080802020200080710030209980606990801330102029069995016799999999999999999999999999999999999905990202                                      99202
395546唯一合格男   03 999999902    240329210752213046000100231    1 10000108010301012                                                                                                                                                                    0299019717029798979797959502970395959509979803020497990801410202029069991056899999999999999999999999999999999999999010102                                      99102
395560唯一合格男   04 999999902    240326201109202026000100049    2 10002864010201011                                                                                                                                                                    0103010302010404040303050404040405080804030204040607990802400602025019999990799999912999999999999999999999999999999990102                                      99101
395565唯一合格女   04 999999902    240326201131202132000100278    2 20000036010100011                                                                                                                                                                    0299010104020101980103090901039702989810029804980602019901540402029011069990799999995999999999999999999999999999999990102                                      99201
395570唯一合格男   04 999999902    240326201150202825000100155    2 10001012010101011                                                                                                                                                                    0101010202080202020203070802020300040310030207020602029901630402033029999996699999999999999999999999999999999990799990201                                      01101
395609唯一合格男   03 999999902    240326201556203031000100255    1 10000323010101011                                                                                                                                                                    0102010203040102020303060702030205080706030202030538029902710702023019999990599990699999999999999999999999999999999990201                                      95101
395612唯一合格女   07 999999902    240329201344202541000100067    2 10001275010302011                                                                                                                                                                    0102010301040302030404050502030203080804030205980601029902590606023029999996499999999999999999999999999999912999999990101                                      01201
395613唯一合格男   07 999999902    240326211227212440000112254005 1 30000004010101011                                                                                                                                                                    0102010404010404040404000004040300100600030305040607990302630502023029999996499999999999999999999999999999917999999990101                                      95101
395655唯一合格女   07 999999902    240326202122204023000100049    2 10002864010201012                                                                                                                                                                    0101019701040302020303080602020202100608020102960606990301520402029016029996499999999999999999999999999999907999999990101                                      95201
395674最年輕的女  042 999999902    240326202244203320000100280    2 10000080010301031                                                                                                                                                                    0101010302040303030303030302970204060504030305030601029902600602022079999996699999999999999999999999999999999990899990101                                      95201
395695唯一合格女    2 999999902    240329180754181949000100127    1 10001688010201011                                                                                                                                                                    0102010402010403040404010004040205000005010100040507990801690502023029999996599999999999999999999999999999999139999990101                                      01201
395703唯一合格女    2 999999902    240326202509203826000112254002 2 30000000010100011                                                                                                                                                                    0101010104010102020202070703030405050705030308040602029902400402029069996021799999999999999999999990599999999999999990102                                      99201
395714唯一合格女   07 999999902    240326202617204001000100275    2 10000156010100011                                                                                                                                                                    0299010145010202989696090802030403050510029605020402019901450302029031069996499999999999999999999999999999902999999990102                                      99202
395727唯一合格女   06 999999902    240329213318214316000112257025 2 30000008010201011                                                                                                                                                                    0103010204029501020202060602030303030207020102030602029901650602021049999996799999999999999999999999999999999999931990101                                      01201
395756唯一合格女   03 999999902    240329201525203226000100157    1 10000679010302011                                                                                                                                                                    0299010101049801010203090901020205099809010298010402029902300302029069996010202999999999999999999999999999999999999990102                                      99204
395765最年長的女   03 999999902    240326203050204039000100155    2 10001012010200012                                                                                                                                                                    0102019898990303030303050498980203100505030305980638029902580502023029999996599999999999999999999999999999999029999990201                                      95201
395768唯一合格女   03 999999902    240326203058204128000100250    1 10000360010201012                                                                                                                                                                    0103010208040203020202080802020105081008010108020101019901780302029059996026899999999999999999999999999999999999999070102                                      99201
