080651唯一合格男   04 999999909    221203204357205429000111256007 1 10000128010201012                                                                                                                                                                    0101010401040402989703050903040497  050807  04030300060102990240060201906999206079999992099999999999999999999999999999999010101
080655最年長的女   03 999999909    221204183053184139000100107    2 10002168010402012                                                                                                                                                                    0103010404010303030303050402030403  081006  03020205051999080259050102105999999689999999999999999999999999999999999999902010201
080682唯一合格男  042 999999909    221204194254195835000100222    2 10000108010201012                                                                                                                                                                    0195010414040404040404020000030498  060706  04020205980799080195030201905999401669999999999999999999999999999999999289999020104
080700唯一合格女   07 999999909    221203204849205630000100140    1 10001420010100011                                                                                                                                                                    0101010404020404030404010300000403  071005  03020205030101990153060302207999999649999999999999999999999999999991399999999010201
080713唯一合格女    2 999999909    221203205004210747000100210    2 10000348010403011                                                                                                                                                                    0102020301040302980203050505050303  030705  03030303049599080154030202901602999659999999999999999999999999999999903999999010204
080728最年輕的男    2 999999909    221206191304192146000100225    1 10000200010302031                                                                                                                                                                    0105010404140404040404000300020403  080805  04020308030699410279050101995999999659999999999999999999999999999999906999999010101
080729唯一合格男    2 999999909    221203205153210444000100204    2 10000128010301011                                                                                                                                                                    0101010401020403040203010101000403  080707  03030303050102990248070202213999999659999999999999999999999999999999906999999010101
080732唯一合格女    2 999999909    221203205204210144000100047    2 10001094010201012                                                                                                                                                                    0101010304020302030203050505050402  050804  03030203050101990152060202302999999639999999999999999999999999999019999999999010201
080737唯一合格女   06 999999909    221203205241210512000200347    2 10000415010201012                                                                                                                                                                    0299010404010403030404050303050402  060806  03030208060102990241040202903901999169999999999999999999901999999999999999999010204
080752最年長的男   03 999999909    221203205425211106000111202004 2 30000008010402012                                                                                                                                                                    0102010208130298029803070603060303  050808  02020202050202990256040202401999999020499999999999999999999999999999999999999010101
080760唯一合格男   07 999999909    221203205519211608000100222    2 10000108010201011                                                                                                                                                                    0101959596999797970297980605059797  060808  02029805069799080295069595906999995649999999999999999999999999999991299999999010101
080765唯一合格女    2 999999909    221203205609210636000108207243 2 10000118010201011                                                                                                                                                                    0103010101040201020202950909100196  000808  01039806040201990139040101906999105659999999999999999999999999999999904999999010201
080805唯一合格女   06 999999909    221203210045211242000100152    2 10000800010201011                                                                                                                                                                    0101010301020404040303050606050302  060609  02030207050799080167040202903501999679999999999999999999999999999999999990599010204
080824唯一合格男   07 999999909    221204181552182607000100049    2 10002384010201011                                                                                                                                                                    0101010401040402040303010303000403  070703  04030305050699080246050202501999999649999999999999999999999999999993299999999010101
080838唯一合格女   03 999999909    221203210645212049000111256007 1 10000128010201012                                                                                                                                                                    0101010404010404980498050300050402  070806  04030206980102990336020202906999105189999999999999999999999990199999999999999010204
080852唯一合格男   04 999999909    221204183331184512000108207243 2 10000118010101011                                                                                                                                                                    0105020108140101010102101010090204  030409  01010206060202990158050202104999999079999990599999999999999999999999999999999010101
080855最年輕的男   06 999999909    221203210802211601000100183    2 10000794010302031                                                                                                                                                                    0101020108020101010102091008100104  000508  01020204040201990164040202906999801679999999999999999999999999999999999991899010101
080869最年輕的女   08 999999909    221207210806212030000111256007 1 10000128010402041                                                                                                                                                                    0102010201140202039702080706070204  000005  01010109029699040180070202206999999139999999999999902999999999999999999999999010201
080873唯一合格女    2 999999909    22120321094621190400099601188  2 10000890010100011                                                                                                                                                                    0102010201040101010102070706060104  000004  01030206060799040156070101602999999639999999999999999999999999999099999999999010201
080891唯一合格男   08 999999909    221203211404213040000108207243 2 10000118010301011                                                                                                                                                                    0195950201049602010303060607060304  030606  02039601060202990149060101102999999139999999999999907999999999999999999999999010101
080912最年輕的女    2 999999909    221205214547215725000100247    2 20000032010402042                                                                                                                                                                    0103019704039898989802050504050302  060706  03020203040799080284060202302999999659999999999999999999999999999999919999999020204
080922唯一合格男   06 999999909    221204133328134055000100152    2 10000800010201011                                                                                                                                                                    0102010404010404020402000100010402  070805  03030205050102990266060202104999999679999999999999999999999999999999999993299010101
080953唯一合格男    2 999999909    221203211949213551000100222    2 10000108010201012                                                                                                                                                                    0101010104010201020201080809090203  060809  01020105050202990128030303906999105639999999999999999999999999999089999999999010102
080964唯一合格女   07 999999909    221203212143212932000100140    1 10001420010302012                                                                                                                                                                    0103010104030101010201090909090202  090908  02020200050202990177060202104999999649999999999999999999999999999990599999999010201
080983唯一合格女    2 999999909    221204184442185653000100199    2 10000672010100011                                                                                                                                                                    0101010402080404040404000000000402  021004  04030303060101990246040202906999302179999999999999999999999019999999999999999010204
080986唯一合格男   08 999999909    221203212535213246000100163    1 10001180010101011                                                                                                                                                                    0101010401040403030404050503000404  030505  04030303030799030253060202906999801139999999999999904999999999999999999999999010101
080992唯一合格男   03 999999909    221203212640213423000110203029 2 10000092010201011                                                                                                                                                                    0103039708019703979797050505059797  050505  97020205060799080159040202104999999689999999999999999999999999999999999999910010101
081001最年長的女   04 999999904    221202210221212057000100247    2 20000032010501012                                                                                                                                                                    0299019801030301020103050805050202  070707  02020108060201990129020202901901999079999999899999999999999999999999999999999010202
081002最年長的女   03 999999904    221202210221211201000100066    2 10002478010501012                                                                                                                                                                    0101010204080202020303060505050303  040605  02020200060799080151030202901104999020199999999999999999999999999999999999999010201
081005唯一合格男   03 999999904    221202210228211015000100109    2 10001156010501011                                                                                                                                                                    0101020101140102020202100806090203  020508  01019805060201990153040202105999999020599999999999999999999999999999999999999010104
081007最年長的男   03 999999904    221202210239212043000100107    2 10002168010303012                                                                                                                                                                    0299010404130202020403030504050402  040603  04030106050799080256050101905999104049905999999999999999999999999999999999999010101
081024最年長的女   03 999999904    221202210503211813000100225    1 10000200010502012                                                                                                                                                                    0103010115080102010101080507080204  040807  01010203040202990180070202602999999689999999999999999999999999999999999999910010201
081038唯一合格女   06 999999904    221202210737212751000111256007 1 10000128010100011                                                                                                                                                                    0299010298999602020298041005100298  059810  96039800059699040128020202906999501679999999999999999999999999999999999991199010202
